invoice_id,customer_id,invoice_date,ship_date,amount,payment_terms_days,quarter,payment_date,is_paid
INV5068,CUST208,2025-06-18,2025-06-18,4447.82,60,2,2025-08-16,True
INV5055,CUST216,2025-06-21,2025-06-21,5684.52,45,2,2025-07-28,True
INV5059,CUST218,2025-06-21,2025-06-21,3961.3,45,2,2025-07-20,True
INV5050,CUST214,2025-06-24,2025-06-24,4937.29,60,2,2025-08-08,True
INV5150,CUST205,2025-06-27,2025-07-19,31000.0,60,2,2025-08-10,True
INV5073,CUST217,2025-06-27,2025-06-26,2172.48,30,2,2025-08-23,True
INV5076,CUST201,2025-06-27,2025-06-26,2329.08,30,2,2025-07-10,True
INV5074,CUST209,2025-06-28,2025-06-26,5347.95,60,2,2025-08-15,True
INV5077,CUST221,2025-06-28,2025-06-28,10724.01,45,2,2025-08-22,True
INV5075,CUST215,2025-06-29,2025-06-27,4696.36,60,2,2025-11-16,True
INV5071,CUST210,2025-06-30,2025-06-29,6595.19,60,2,2025-08-03,True
INV5072,CUST205,2025-06-30,2025-06-28,2348.74,60,2,2025-08-04,True
INV5070,CUST202,2025-06-30,2025-06-29,2762.26,60,2,2025-09-13,True
INV5096,CUST217,2025-07-01,2025-06-30,3417.19,30,3,2025-07-23,True
INV5091,CUST210,2025-07-05,2025-07-04,3779.19,60,3,2025-08-10,True
INV5088,CUST201,2025-07-06,2025-07-06,4425.6,30,3,2025-07-20,True
INV5084,CUST209,2025-07-11,2025-07-11,4806.92,60,3,2025-10-05,True
INV5086,CUST218,2025-07-12,2025-07-11,1937.84,45,3,2025-09-19,True
INV5094,CUST203,2025-07-12,2025-07-10,864.32,45,3,2025-08-15,True
INV5099,CUST217,2025-07-13,2025-07-13,2971.02,30,3,2025-08-07,True
INV5102,CUST214,2025-07-17,2025-07-15,2863.66,60,3,2025-10-05,True
INV5085,CUST201,2025-07-22,2025-07-22,2719.59,30,3,2025-09-11,True
INV5100,CUST204,2025-07-22,2025-07-21,5540.43,45,3,2025-08-15,True
INV5083,CUST213,2025-07-30,2025-07-30,1508.83,45,3,2025-08-30,True
INV5103,CUST210,2025-08-08,2025-08-06,1339.91,60,3,2025-09-22,True
INV5081,CUST200,2025-08-09,2025-08-08,3281.71,45,3,2025-09-02,True
INV5078,CUST221,2025-08-16,2025-08-15,4199.92,45,3,2025-09-28,True
INV5104,CUST209,2025-08-24,2025-08-23,11208.39,60,3,2025-11-26,True
INV5093,CUST212,2025-08-26,2025-08-24,3575.29,45,3,2025-09-23,True
INV5092,CUST214,2025-08-28,2025-08-26,4433.93,60,3,,False
INV5098,CUST211,2025-08-29,2025-08-29,2743.39,30,3,,False
INV5105,CUST203,2025-08-30,2025-08-30,3822.43,45,3,2025-09-23,True
INV5101,CUST215,2025-08-30,2025-08-28,5901.31,60,3,2025-10-27,True
INV5080,CUST204,2025-09-05,2025-09-05,2165.51,45,3,2025-09-24,True
INV5089,CUST208,2025-09-07,2025-09-05,1423.74,60,3,2025-11-27,True
INV5079,CUST211,2025-09-10,2025-09-10,2031.29,30,3,2025-12-23,True
INV5090,CUST206,2025-09-18,2025-09-17,3141.4,30,3,2025-10-09,True
INV5087,CUST208,2025-09-19,2025-09-18,7151.35,60,3,2025-11-02,True
INV5095,CUST218,2025-09-20,2025-09-18,2008.81,45,3,2025-10-17,True
INV5097,CUST211,2025-09-21,2025-09-19,3252.76,30,3,2025-10-12,True
INV5082,CUST220,2025-09-25,2025-09-25,3178.92,30,3,2025-10-17,True
INV5113,CUST215,2025-09-27,2025-09-26,2814.3,60,3,2025-11-17,True
INV5107,CUST210,2025-09-27,2025-09-27,5480.29,60,3,2025-11-04,True
INV5108,CUST217,2025-09-27,2025-09-27,2319.03,30,3,2025-10-24,True
INV5109,CUST212,2025-09-27,2025-09-25,2486.5,45,3,2025-12-08,True
INV5112,CUST217,2025-09-28,2025-09-27,6154.81,30,3,2025-10-13,True
INV5110,CUST209,2025-09-28,2025-09-28,2428.04,60,3,2025-10-28,True
INV5111,CUST209,2025-09-28,2025-09-27,4518.74,60,3,2025-10-24,True
INV5106,CUST217,2025-09-30,2025-09-29,1750.24,30,3,2025-10-11,True
INV5139,CUST208,2025-10-10,2025-10-09,2755.91,60,4,2025-11-18,True
INV5123,CUST200,2025-10-11,2025-10-10,5860.32,45,4,2025-11-09,True
INV5122,CUST218,2025-10-12,2025-10-11,4697.07,45,4,2025-11-16,True
INV5124,CUST211,2025-10-14,2025-10-12,1610.5,30,4,2025-12-13,True
INV5126,CUST200,2025-10-16,2025-10-15,6390.68,45,4,2025-11-05,True
INV5144,CUST210,2025-10-20,2025-10-18,6884.67,60,4,2025-12-05,True
INV5114,CUST208,2025-10-21,2025-10-21,1717.87,60,4,2025-12-06,True
INV5137,CUST204,2025-10-22,2025-10-21,4380.59,45,4,2025-11-25,True
INV5131,CUST215,2025-10-23,2025-10-21,3632.91,60,4,,False
INV5120,CUST221,2025-10-26,2025-10-24,2882.24,45,4,2025-11-23,True
INV5116,CUST206,2025-10-29,2025-10-29,5334.41,30,4,2025-11-19,True
INV5141,CUST217,2025-10-31,2025-10-29,3051.38,30,4,2025-11-24,True
INV5134,CUST207,2025-11-02,2025-10-31,1911.42,30,4,2025-11-24,True
INV5125,CUST201,2025-11-04,2025-11-04,6322.74,30,4,2025-12-29,True
INV5132,CUST220,2025-11-05,2025-11-03,3357.04,30,4,2025-11-28,True
INV5133,CUST205,2025-11-05,2025-11-04,5038.7,60,4,,False
INV5115,CUST219,2025-11-09,2025-11-07,2930.67,30,4,2025-12-14,True
INV5128,CUST200,2025-11-11,2025-11-10,5402.99,45,4,2025-12-17,True
INV5135,CUST221,2025-11-12,2025-11-10,3460.6,45,4,2025-12-24,True
INV5118,CUST205,2025-11-15,2025-11-14,3913.37,60,4,2025-12-25,True
INV5138,CUST203,2025-11-15,2025-11-15,4630.9,45,4,,False
INV5140,CUST201,2025-11-16,2025-11-14,5634.38,30,4,,False
INV5142,CUST211,2025-11-19,2025-11-17,4990.61,30,4,2025-12-16,True
INV5119,CUST215,2025-11-22,2025-11-21,1260.38,60,4,,False
INV5117,CUST209,2025-11-25,2025-11-24,3628.37,60,4,2025-12-07,True
INV5136,CUST216,2025-11-26,2025-11-24,1577.41,45,4,,False
INV5121,CUST203,2025-11-27,2025-11-27,4408.74,45,4,,False
INV5127,CUST202,2025-11-30,2025-11-29,6040.1,60,4,,False
INV5143,CUST210,2025-12-10,2025-12-08,4142.32,60,4,,False
INV5129,CUST217,2025-12-12,2025-12-10,8934.62,30,4,,False
INV5130,CUST203,2025-12-14,2025-12-13,1873.93,45,4,,False
INV5149,CUST221,2025-12-28,2025-12-28,1683.25,45,4,,False
INV5146,CUST217,2025-12-29,2025-12-28,4303.91,30,4,,False
INV5151,CUST211,2025-12-29,2026-01-24,45500.0,30,4,,False
INV5147,CUST216,2025-12-30,2025-12-29,4060.76,45,4,,False
INV5148,CUST202,2025-12-30,2025-12-28,1479.91,60,4,,False
INV5145,CUST217,2025-12-31,2025-12-30,2045.13,30,4,,False
